会社名,募集の特徴,雇用形態,掲載期間,事業内容・募集背景,仕事内容,事業概要,所在地,設立,代表者,従業員数,資本金,売上高,平均年齢,連絡先,企業URL
株式会社フジワーク,インフラエンジニア　直請け・自社内開発案件多数　連結売上226億円　社員数3500名,正社員 ・試用期間3ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002113924,,インフラエンジニア※直請け、自社内開発案件多数！連結売上226億円、社員数3500名 【社員定着率90％以上、残業平均20時間以内、有給取得率75％、福利厚生・研修制度充実の働きやすい企業】■担当業務：ネットワーク・サーバー等の基盤設計、構築、運用業務をご経験に応じてご担当頂きます。製造メーカー向け生産管理システム、流通業向け販売管理システム、保険会社向け顧客管理システム等の開発プロジェクトから通信会社のサーバー構築や官公庁のシステム監視・開発及びインフラ整備まで、非常に多岐に渡る業務がある為、入社後はご自身のスキルに応じて案件を選定し、チームにアサイン頂けます。■業務内容：上流工程での受託案件が多く、派遣での運用監視案件は少ないことが特徴です。今後さらに受託の比率をあげていく計画です。ご自身も案件を担当するだけではなく、率先して案件取得に向けて活動をして頂きたいと考えています。■配属部署について：現在エンジニアリング事業部では100名以上のメンバーで稼動しており、20代～50代の幅広い年代層となり、中途採用からチャレンジしている社員も多数在籍しています。■キャリアパス：入社後はスキル、ご経験に応じてリーダーなどのポジションからスタートして頂くことも可能です。また、グループリーダー、統括リーダーとキャリアアップすることが可能です。,・製品開発、システム開発、3Dプリンター事業・総合人材サービス事業、マニュファクチュアリング／サービス事業・ホテル／温浴施設／不動産開発／施設運営事業、新規事業開発,〒530-0011 大阪府大阪市北区大深町3-1 グランフロント大阪タワーB16F,1983年6月,代表取締役 白石 純一,"3,500名",50百万円,,28歳,,http://www.fujiwork.co.jp/
株式会社フジワーク,（関西）PM・PL　売上226億　社員数3500名／直請け・自社案件多数,正社員 ・試用期間3ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002113887,,【関西】PM・PL ※売上226億、社員数3500名／直請け、自社案件多数 【連結売上226億円、社員数3500名、直請け、自社内案件多数、研修制度充実、残業平均20時間、有給取得率75％、離職率5％】■担当業務：プロジェクトマネージャーまたはプロジェクトリーダーとして多業界の基幹系、業務系、Web系など幅広い案件に携わります。民間企業だけではなく官公庁を始めとする公共系案件も多数あります。また、直請け案件も豊富にあり、現在は自社内開発比率も高まっております。■詳細：自身の経験等に応じて案件内容・担当フェーズを決定します。上流工程から一括して担当できるよう案件獲得を行っています。リーダーまたはマネージャーとしてプロジェクトを担当して頂きます。■魅力：（1）多彩な事業経営同社では、事業の柱として「アウトソーシング事業」「自社製品開発事業」「ホテル事業など」の3つがあります。具体的な業務としては、ライセンス商品の企画、開発、生産、販売や大手メーカーとの共同製品開発、業務請負などを行っています（ソニー「プレイステーション2」のコントローラーやメモリーカード、「プレイステーション3」の対応製品、任天堂「Wii」の対応製品など）。また、宇宙航空研究開発機構（JAXA）と共同で、国際宇宙ステーションの中で使用されるセンサーの開発も行っています。（2）エンドユーザーとの折衝、コンサル、要件定義などの上流工程案件95％IT業界だけではなく、メーカーとしての立地位置を武器に製造関連でも業界トップクラスの顧客と取引をしています。そのため上流工程からの案件が非常に多いことが特徴です。スキルアップできるための案件数は他社を圧倒します。PL、PM、コンサルタント、上級PG、アーキテクトなど多様なキャリア選択が可能。年収レンジも平等に設計しているため長期的なキャリアアップが可能です。（3）CSR活動を重視し、地域に根差した成長を継続様々な地域イベントのスポンサーをしています。またIT系の学校法人を開設しており、同社のノウハウを集約したカリキュラムを武器に就職率毎年93％を超え好評です。社員の窓口相談ダイヤル、働きやすさを追求するための目標策定など様々な取り組みを行っています（現在育児休暇取得率75％を目指しています）。,・製品開発、システム開発、3Dプリンター事業・総合人材サービス事業、マニュファクチュアリング／サービス事業・ホテル／温浴施設／不動産開発／施設運営事業、新規事業開発,〒530-0011 大阪府大阪市北区大深町3-1 グランフロント大阪タワーB16F,1983年6月,代表取締役 白石 純一,"3,500名",50百万円,,28歳,,http://www.fujiwork.co.jp/
富士ソフト株式会社,（大阪）MS製品提案・開発／構築エンジニア　東証一部上場,正社員 ・試用期間6ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002086760,,"【大阪】MS製品提案・開発／構築エンジニア　～東証一部上場～ ■業務内容：マイクロソフト社製品（Office365、Azure、Active Direrctory、Share Point、Exchange、Skype for Business等）の提案から開発、構築を行います。（1）Office365移行案件…Office365の環境設定、既存システム（Notes等）からの移行に関して、提案から保守に至るまで全工程に携わります。（2）SharePoint開発…SharePointの標準機能では実現できない機能について、C#による開発で要件定義工程から携わります。（3）マイクロソフト社製品のインフラ環境構築…Microsoft Azurre、Active Directory、Exchange、SharePoint、Skype for Businessのインフラ環境構築に携わります。※上記の他、マイクロソフト社製品全般に対して提案・開発／構築を牽引します。■スペシャリスト（SP）認定制度の導入：SP認定制度は業務知識、業界知識、取得資格等のレベルを定義し、社員の意欲向上、会社としての技術力向上を目的として、認定を行う制度を導入しています（認定給あり）。認定されたメンバは、その専門性を活かして業務に携わります。■同社の特徴・魅力：・5,000名（グループ全体では1万人以上）を超える企業規模ながら柔軟な組織運営を行っており、市場のニーズに対して柔軟な取り組みが可能です。・同社では、人材育成や個人の成長を重んじており、同社の有する豊富な実績やノウハウに基づき、スキル研鑽を行うことが可能です。・スペシャリスト認定制度の導入、資格取得支援をはじめ、勉強会や講演会等、技術者として中長期的にスキルや技術を研鑽できる環境です。",同社は1970年の創業以来、国内有数の独立系ITソリューションベンダーとして成長を続けています。富士ソフトグループはトータルソリューションベンダーとして、多角的な業界・顧客に対して高付加価値を提供しています。業務・制御系システム開発事業…流通、金融、製造、通信等のグループを含めた業務アプリケーション開発技術を有しています。長年培った豊富なノウハウと技術力の高さより、高付加価値サービス提供を可能としています。,〒231-8008 神奈川県横浜市中区桜木町1-1,1970年5月,代表取締役 社長執行役員 坂下 智保,"6,426名","26,200百万円","164,218百万円",36歳,,http://www.fsi.co.jp/
株式会社オージック,（大阪）社内SE(本社工場)　シェアトップクラスの製品多数／人工衛星等の精密ギアメーカー,正社員 ・試用期間3ヶ月、補足事項なし・補足事項なし,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002112505,,【大阪】社内SE(本社工場)　※シェアトップクラスの製品多数／人工衛星等の精密ギアメーカー ■業務内容：同社の社内SEとしてシステムに関する各種業務に携わります。※本社工場内SEとしての勤務となります。・基幹システムの企画、改善、運用保守・インフラ（ネットワーク、サーバ）の運用保守・ベンダーコントロール・IT資産管理（タブレットや携帯電話等）・ヘルプデスク・ユーザー要望によるデータ抽出※基幹システムはERPを導入しています。社内で大がかりな開発を行う事は現時点ではありません。※現在、生産管理システム入替PJが稼動中等、IT推進に積極的に取り組んでいます。■採用背景：同社のシステム担当者は近年入社の1名含む2名で担当しています。ご由無拡大に対応するため増員します。■同社の製品：ギアとはパワーを高率よく駆動部に伝達する為に必要とされるパーツです。航空機・自動車・ロボット等、世界を動かすあらゆる最先端のマシンの中、またはそれらを作る精密機械の中にギアが必ず使われています。同社の製品はF1のレーシングマシンにも使用されており、高い技術でドライバーの信頼を勝ち得ています。■組織風土：・1952年設立と歴史がある同社ですが、社員の平均年齢は30代前半と若く活気に満ち溢れています。各部門の役職者も30代と若い方が多く、年齢に関係なく活躍できる環境です。代表取締役社長も41歳という若さです。社内には高度な技術力を持つベテラン社員もいる状況で技術や知識等も学べる環境も魅力です。・同社では｢仕事を愛し、人を愛する｣という考えのもと、若い人材でもやる気次第で、やりがいのある仕事に挑戦できる仕組みになっています。毎月奨励手当の支給もあり、実力次第で給料が上がる仕組みが確立されています。・オフィス、工場ともに清潔感があり、活気を感じる環境です。社内には従業員専用のテニスコートと食堂が整備されています。従業員同士でレクリエーションも行っており、従業員が楽しみながら働ける環境を重視しています。,半世紀以上にわたり、各種精密ギアの製造販売を行っております。製造業の競争力の源泉である設備投資において、業界トップクラスシェアを誇るマスターウォームギヤセット、高精度ハイポイド・スパイラルベベルギヤ分野、平・ハスバ歯車分野で新鋭機を積極的に導入し、競合他社と差別化し業界内で確固たる地位を確立しています。,〒578-0984 大阪府東大阪市菱江1-15-33,1952年4月,代表取締役社長 田中 文彦,137名,65百万円,"2,560百万円",35歳,,http://www.ogic.co.jp/
アイネット・システムズ株式会社,（大阪）（東証一部上場グループ）医療システムのインストラクター（医療事務経験者歓迎）,正社員 ・試用期間6ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002085916,,"【大阪】【東証一部上場グループ】医療システムのインストラクター（医療事務経験者歓迎） 【医療コンサルティングを展開する東証一部上場グループ】■概要：同社が取り扱う電子カルテ・医事会計システムのインストラクターとして以下業務に従事いただきます。(1)導入支援：導入エンジニアが導入する際のサポート業務を担当いただきます。(2)操作指導：導入後に実際に利用される方々への層さ方法の説明を実施いただきます。(3)ヘルプデスク業務：導入後のヘルプデスクとして電話対応等を実施いただきます。■同社の魅力：(1)『電子カルテ市場は、4年後に現在の2倍に拡大する』と考えられております。特に同社が強みの診療所クリニック向け電子カルテ普及率は約27.0％で今後より普及が予想される領域です。同社の自社製品（AI-CLINIC）は全国500以上のクリニックに導入されております！またITインフラに特化したサービスも展開しており、確かな技術力が顧客から評価され、大きな柱となっております。■東証一部上場・シップヘルスケアホールディングス：連結従業員数13,159名、連結売上5,300億円のグループです。「医療」「保健」「福祉」「介護」の4分野に特化した企業です。同社は10000名を超える従業員と40を超えるグループ会社で形成された東証1部上場企業のシップヘルスケアHDのグループ会社です。各事業会社で医療品の卸しや医療機関等の新設、移転新築及び増改築などを行っており、他事業会社の顧客に対し事業侵攻することや、病院作りの際の医療システム・ネットワークを同社が担当しています。■現在は和歌山県の病院組合と提携して、和歌山の中小規模病院に対してサービスを行っております。（県から助成金がでます。）現在は和歌山だけの提携ですが、関西圏の自治体や県に対しても、提携を提案し、シェアを伸ばしていく予定です。",■概要：設立20年超、医療分野に特化したシステム提案・パッケージソフトの開発が主軸です。現在事業の柱は下記2本です。1.医療システム事業：医療関連システムの企画・設計・開発・導入・運用・保守サービス、パッケージ製品の企画・開発・販売、医療システム運用保守サービス等。取り組み始めてから20年超、現在では250以上の医療機関に導入されています。2.ネットワーク事業：ネットワーク関連システムの企画・設計・構築・施行・保守・運用・監視サービス、セキュリティサービス、24時間保守サービス等。,〒542-0081 大阪府大阪市中央区南船場2-9-8 シマノ住友生命ビル4F,1985年11月,代表取締役社長 牧山 哲見,104名,170百万円,"2,700百万円",34.5歳,,http://www.ains.co.jp/
日本ＰＣサービス株式会社,（大阪）コールセンター職（サポート手配担当）,正社員 ・試用期間2ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002086275,,【大阪】コールセンター職（サポート手配担当） ■業務内容：同社取引企業から依頼される出張修理などのサポート対応を全国のサービス加盟店へ訪問手配し調整頂く業務を担当していただきます。また各取引企業ごとの対応マニュアル作成や業務フロー作成も担当していただきます。■業務の魅力：自身が頑張ったこと、成果を出したことが評価されやすく、達成感を得やすい環境です。役員や部長との距離も近く、自分の意見やアイデアを提案し、スピーディに実現することが可能です。急成長中の組織で、着実にステップアップできます。また新規取引となる大手企業との調整・対応マニュアル作成等も担当するため、既に出来上がったものでなく、自ら新たに工夫を凝らし業務を進めていけるというやりがいがあります。■同社の特徴：同社はパソコンやデジタル家電、ゲーム機をはじめとしたネットワーク機器や家電、太陽光からHEMS、蓄電池等の家庭用エネルギー管理システムに至るまで、自宅やオフィスで利用するあらゆるICT機器に関するサポートサービスをワンストップで提供してきました。これからの日本では年々少子高齢化が進み、それを補うべくIT化、スマートハウス化、ロボット化がますます進むと思われ、そこには必ず「人とICT機器をつなぐサービス」が必要になります。その役割を担い、ICT機器社会へ貢献することは同社にしかできないと考えています。ホームネットワークを維持、管理し、トラブル時には緊急で対応する企業として、最高のサービスでICT機器社会の様々な困りごとを解決することを使命と考え、スマートライフの発展とともに同社のサービスも進化し続けます。,■事業内容：パソコン総合サービス、パソコントラブル解決サービス、パソコン修理・各種設定、ホームページ作成、パソコンレッスン、パソコン販売、パソコンならびにIT関連機器の専門技術部隊「ドクター・ホームネット」の運営、法人保守■フィールドサポート事業：全国のパソコン・デジタル家電・その他スマート機器のサポートを、訪問・店舗持込・郵送等によって行う事業です。駆けつけサポートは品質・スピードを重視し、代行設定サポートは価格を抑え大量の作業が可能なサービスとなっています。,〒564-0052 大阪府吹田市広芝町9-33 プレシデントビル7F,2001年9月,代表取締役 家喜 信行,276名,188百万円,"3,634百万円",31.4歳,,http://www.j-pcs.jp/
エックスサーバー株式会社,（大阪）Web開発エンジニア　全社平均残業時間6.48時間/多様なキャリアパス/自社サービス開発,正社員 ・試用期間3ヶ月、給与は本採用時と同額です。,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002085757,,【大阪】Web開発エンジニア※全社平均残業時間6.48時間/多様なキャリアパス/自社サービス開発 ■業務内容：「エックスサーバー」を始めとする同社提供サービスにおいて、「新規機能の追加」や「既存機能の改修」などのシステム開発に携わります。■入社後のイメージ：入社～1ヶ月間は、研修を通して同社開発環境に慣れていきます。その後、実際に稼働しているシステムの開発業務に携わります。※新規機能の提供、既存機能の改修、バックエンドシステムの改修・機能追加などから、自身のスキルや経験に応じて案件を担当します。仕様案を提示し、各部署との調整や打ち合わせもしつつ、実装を進めていく予定です。■開発環境：LAMP環境（開発言語：PHP・JavaScript／データベース：MySQL）、開発ツールは相談の上、希望のツールを使用することが可能です。また、デュアルディスプレイやその他必要なツールを、エンジニアの作業効率向上に繋がるよう、希望を受けて用意しています。■魅力点：（1）業界トップクラスのシェア。国内上位を誇る業界トップクラスの大規模ホスティングサービス…創業時から継続している共有レンタルサーバー「XSERVER」を中核サービスとしています。同サービスは、個人法人を問わずライトユーザーをメインターゲットとしたレンタルサーバーであり、メールだけでなく電話でも顧客のサポートを行っているにも関わらず、他社にない価格帯、機能性でネットリテラシーが高くないユーザーでも安心して使用できるサービスとして拡張してきました。他にも、ビジネス向けを意識した「SiXCORE」、「X2」「wpX」をリリースし、さらなる成長を続けていきます。（2）企業のワークライフバランス…仕事とプライベートを充実させるために、残業時間減や有給消化への取り組み、産前産後・育児休暇や資格取得支援制度・書籍購入制度などさまざまな制度・取り組みを行っています。また、しっかりと働く「ワーク派」、プライベートを重視する「ライフ派」と、自身のライフスタイルに合わせた勤務形態が選べるなど、社員一人ひとりが仕事とプライベートを両立させ、安心して長く働ける環境づくりに努めています。,■事業内容：・ホスティングサービス事業・WEBサイトの企画、制作作業・WEBアプリケーションシステムの開発事業・その他、インターネット関連サービス事業※運営サービス…Xserver（エックスサーバー）、Sixcore（シックスコア）、wpX（レンタルサーバー＆クラウド）、Xdomain、X2、drivee、drivee for Business,〒530-0011 大阪府大阪市北区大深町4-20 グランフロント大阪タワーA32F,2004年1月,代表取締役 小林 尚希,57名,99百万円,"1,797百万円",30歳,,http://www.xserver.co.jp/
パーソルプロセス＆テクノロジー株式会社,（大阪）クラウドエンジニア(フルスタック)　クラウド・フルスタックへのキャリアパス／受託自社内案件,正社員 ・試用期間3ヶ月、試用期間中も待遇に変動はありません。・補足事項なし,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002110140,,【大阪】クラウドエンジニア(フルスタック)※クラウド・フルスタックへのキャリアパス／受託自社内案件 ■業務内容：マイクロソフト社の「Microsoft Azure」導入支援パートナートップクラスを誇る実績・ノウハウの元、同サービスを中心とした関西でのクラウドサービスの導入・構築支援サービスを担当します。具体的には、大手から中堅企業の経営層、情報システム関係者と折衝をします。現状の業務に関してヒアリングを行い、様々な課題を収集し、その課題を元に「どういう業務改善が成されれば課題は解決するのか」、「事業は成長するのか」等、クラウド移行への不安ポイントの解消法などを検討し、クライアントへ最適なクラウド環境の提案～構築を行います。クラウドサービスの導入後は、改めて業務課題／事業戦略のヒアリングを行い、更なる提案を行うための情報収集をしていき、クライアントと永続的に取引を行っていくスタイルです。※案件や技術習得のための研修等が発生した場合は、日帰りもしくは宿泊を伴う出張が発生する場合があります。※受託型にて行っているため、自社内での勤務になります。■求人の魅力：・関西圏でのクラウドサービス普及という社会貢献…首都圏比で5～10年遅れているという関西マーケットにおけるクラウド導入に携わりますので、今後の関西経済を間違いなく支えていくことになる基盤として、クラウドサービスを普及させていく立役者としてのミッションを担当します。・120％の安定成長を継続…ユーザー系SIerとしてSI事業以外にもOS事業、パッケージソフト事業なども展開しています。同社が保有する顧客資産は他業界の大手企業との取引も多数あり（業界トップクラス）、大規模な案件や重要案件の引き合いも非常に多くあり、総合的なソリューション提供を実現しておりリピート率は95％、パッケージソフトのシェアは小売業／飲食業ではシェアトップクラスの実績があります。■案件例：(1)電子機器などを扱う老舗企業様：マイクロソフト社のクラウドプラットフォームであるStorSimpleのストレージを導入(2)医療機関ならびに自治体：Microsoft Azureの導入・構築(3)ITベンダー様：Office365、EMS導入・構築,■事業内容：業務プロセスコンサルティングや及びシステムの企画・開発・システム運用・保守、パッケージソフト導入及び保守運用・インフラ設計構築・クラウドサービス、ICTアウトソーシング・エネルギーアウトソーシング・セールスアウトソーシング、Webアナリティクスサービス・バックオフィス支援・カスタマーサポート支援,〒135-0061 東京都江東区豊洲3-2-20 豊洲フロント7F,1977年9月,代表取締役社長 長井 利仁,"3,166名",310百万円,"591,995百万円",32.7歳,,https://www.persol-pt.co.jp
パナソニック株式会社,（AIS社）ソフトウェア・ハードウェア・サーバーのプラットフォーム開発（車載事業）,正社員 ・試用期間3ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002086531,,【AIS社】ソフトウェア・ハードウェア・サーバーのプラットフォーム開発（車載事業） ■業務内容：・ソフトウェアプラットフォーム開発・ハードウェアプラットフォーム開発・サーバープラットフォーム開発■業務の魅力：パナソニックの持つ豊富な技術を生かした車載商品の開発を通じて、広いフィールドで事業の成長を牽引し、自らの技術力、マネジメント力を伸ばす豊富な機会が得られます。■オートモーティブ＆インダストリアルシステムズ社（AIS社）の事業内容：（1）オートモーティブ関連事業（車載マルチメディア関連機器、環境対応車関連機器、電装品等）（2）インダストリアル関連事業（電子部品、電子材料、半導体、光デバイス、一次電池、二次電池、充電器、蓄電システム、電池応用商品･部材等）（3）マニュファクチャリング関連事業（電子部品実装関連システム、溶接関連システム）及び自転車関連等の開発・製造・販売・サービス■オートモーティブ＆インダストリアルシステムズ社（AIS社）：オートモーティブ＆インダストリアルシステムズ社は、パナソニックの社内分社として車載用電装システム、電子材料、電子部品、半導体、制御機器、光デバイス、バッテリー、生産設備システム等を幅広く担当しており、「車載」「情報通信」「産業インフラ」分野の顧客の価値向上を目指し、開発・生産・販売・サービスの各部門の社員が一体となって活動しています。オートモーティブ＆インダストリアルシステムズ社は、独自のコア技術をベースに、顧客の潜在ニーズを「先読み」するマーケティング活動と、パッケージでのシステムソリューション提案による「クロスバリューイノベーション」を通じ、安全・安心はもちろんのこと、エコでスマートな暮らしの実現に貢献しています。「車載」「情報通信」「産業インフラ」分野の顧客への貢献を通じ、顧客と共に「より良い世界」の実現を目指しています。,～部品から家庭用電子機器、電化製品、FA機器、情報通信機器、および住宅関連機器等に至るまでの生産、販売、サービスを行う総合エレクトロニクスメーカーです～■事業内容:パナソニックの事業運営は、4つのカンパニー体制を骨格とし、それぞれのカンパニーに属する事業部が、担当する事業の開発・製造・販売の責任を負う「事業部基軸の経営」を推進しています。パナソニックは成長戦略の実現に向けて、それぞれの事業部経営を進化させると共に、各カンパニーや本社の各部門との連携のもと、事業部を超えた新規事業の創出にも積極的に取り組んでいきます。,〒571-8501 大阪府門真市大字門真1006,1935年12月,代表取締役社長 津賀 一宏,"257,533名","258,740百万円","7,553,717百万円",44歳,,http://panasonic.co.jp/
カームコンピュータ株式会社,（大阪）PG　22年間連続黒字経営/離職率1%/Mac OS Xで指紋認証を実現,正社員 ・試用期間3ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002087539,,（大阪）PG　22年間連続黒字経営/離職率1%/Mac OS Xで指紋認証を実現 ■担当業務：大手製造業向け基幹システム（販売・物流・人事等）の業務アプリケーションの開発保守もしくは、指紋認証セキュリティパッケージソフトのユーザカスタマイズ～導入支援を行っていただきます。■魅力点：【成長企業/設立以来、22年連続単年度黒字達成/右肩上がりで成長中】1993年の設立以来、20年以上連続単年度黒字達成をしている数少ない企業です。MacOSでの自社パッケージ認証セキュリティシステム（@SECUREシリーズ）を開発するなど、Mac系ソフト開発に強みのある、独立系ソフトハウスです。これまでの実績や独自の高い技術力に評価をいただき、現在はWeb系システムの受託案件を中心に案件を広げております。【高い技術力を保有/世界初の技術あり/経済産業技術研究所にも採択された確かな技術を保有】大手企業を始めとした多くの取引先から信頼を得ているのは、確かな技術力があるからです。Oracleマスター技術者やMCP合格者、Java資格取得者などが在籍しております。開発経験の豊富な方には、一次請SIerやエンドユーザーとの折衝、要件定義や基本設計といった上流工程からお任せします。自社開発製品の一つ「@SECURE/fs」は指紋認証USBメモリに当社のソフトウェアを組み合わせたセキュリティソリューションで、MacとWindowsの両方で使えるのが特徴です。またMacへの指紋認証ログインを実現した世界でも数少ないシステムインテグレータです。【離職率は約1％/長期的に活躍できる環境/社員の働きやすい環境づくりにも力を入れています】残業時間は月平均20～30時間、年間休日124日、有給休暇取得率8割と、仕事だけでなく充実したプライベートも手に入る環境です。また、資格取得支援制度や資格手当など、社員のスキルアップをサポートする制度もします。,■企業沿革：・同社は、1993年に各種アプリケーションシステム受託開発業務をメインに特定のメーカ、ユーザに依存しない独立系ソフトハウスとして設立されました。・情報社会における情報セキュリティを重視し、情報漏洩防止製品の開発を開始致しました。MacOSXで指紋認証ログオンを実現しています。,大阪府大阪市中央区高麗橋4-8-5 正亜ビル6F,1993年7月,代表取締役 園田 正彦,82名,10百万円,,37歳,,http://www.calm.co.jp/index.html
アイネット・システムズ株式会社,（大阪）（電子カルテ経験者向け）自社電子パッケージ開発・導入エンジニア　東証一部医療コンサルグループ,正社員 ・試用期間6ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002085912,,"【大阪】【電子カルテ経験者向け】自社電子パッケージ開発・導入エンジニア※東証一部医療コンサルグループ 【医療コンサルティングを展開する東証一部上場グループ／医療システムの自社内開発／設計、開発～導入、保守まで幅広くお任せします。】■概要：同社が取り扱う電子カルテシステム「AI・CLINIC Revo」並び健診・臨床検査システムの自社パッケージ開発、および保守をお任せします。■詳細：自社パッケージ製品の開発、各医療機関に適した仕様へのカスタマイズ、販売代理店からの問い合わせなど。■組織構成：所属する事業部のエンジニアは現在20名。案件に応じて最適なチーム構成で業務を遂行します。■同社の魅力：(1)『電子カルテ市場は、4年後に現在の2倍に拡大する』と考えられております。特に同社が強みの診療所クリニック向け電子カルテ普及率は約27.0％で今後より普及が予想される領域です。同社の自社製品（AI-CLINIC）は全国500以上のクリニックに導入されております！またITインフラに特化したサービスも展開しており、確かな技術力が顧客から評価され、大きな柱となっております。【東証一部上場・シップヘルスケアホールディングス】連結従業員数8,229名、連結売上2,733億円のグループです。「医療」「保健」「福祉」「介護」の4分野に特化した企業です。】同社は8000名を超える従業員と40を超えるグループ会社で形成された東証1部上場企業のシップヘルスケアHDのグループ会社です。各事業会社で医療品の卸しや医療機関等の新設、移転新築及び増改築などを行っており、他事業会社の顧客に対し事業侵攻することや、病院作りの際の医療システム・ネットワークを同社が担当しています。(2)現在は和歌山県の病院組合と提携して、和歌山の中小規模病院に対してサービスを行っております。（県から助成金がでます。）現在は和歌山だけの提携ですが、関西圏の自治体や県に対しても、提携を提案し、シェアを伸ばしていく予定です。",■概要：設立20年超、医療分野に特化したシステム提案・パッケージソフトの開発が主軸です。現在事業の柱は下記2本です。1.医療システム事業：医療関連システムの企画・設計・開発・導入・運用・保守サービス、パッケージ製品の企画・開発・販売、医療システム運用保守サービス等。取り組み始めてから20年超、現在では250以上の医療機関に導入されています。2.ネットワーク事業：ネットワーク関連システムの企画・設計・構築・施行・保守・運用・監視サービス、セキュリティサービス、24時間保守サービス等。,〒542-0081 大阪府大阪市中央区南船場2-9-8 シマノ住友生命ビル4F,1985年11月,代表取締役社長 牧山 哲見,104名,170百万円,"2,700百万円",34.5歳,,http://www.ains.co.jp/
キヤノンITソリューションズ株式会社,システムエンジニア／アーキテクト（レガシーマイグレーション／最上流から携わることができます）,正社員 ・試用期間2ヶ月,[掲載予定期間：2018/2/1（木）～2018/4/25（水）] 求人コード 3002111740,,システムエンジニア／アーキテクト（レガシーマイグレーション／最上流から携わることができます） ■業務内容：製造業、流通業、金融業、公共機関等でのレガシーマイグレーションにおける、コンサルティング、移行要件定義、移行方式設計、各種テストや、それらのマネジメントを担当します。■業務の特徴・魅力：・スキルとやる気次第で、希望する立場のやりがいのある仕事をすぐに担当することができ、数多くの経験を積むことができます。・基本的に同社への持ち帰りが可能な案件しか対応していないため、顧客先への常駐が長期に渡るようなことはありません。・和気あいあいとした、働きやすい職場です。■求める人物像：本ポジションでは、レガシーマイグレーションが好きな方、リーダシップのある方を歓迎します。■キヤノンGとしての魅力：プロジェクト管理がしっかりしており（社内横断のサポート部門があります）、受注段階より赤字にならないプロジェクトとなるよう努力をしています。数値に対してきちんと管理をしている企業だからこそ、厳しいところもありますが「ビジネスになる」PM力を磨くことができます。更に、映像と情報のキヤノングループならではのイメージ処理（電子ファイリングなど）も推進しており、金融機関におけるイメージ処理に興味がある方、経験のある方は該当部門への参画も可能です。,■概要：キヤノンマーケティンググループ全体を支える重要な柱であるITサービス事業を担うコア企業として、ITソリューションにおけるCANONブランドを確立し、リーディング企業グループ入りを目指します。また、同じグループ会社であるキヤノンソフトウェア㈱と、2017年下期に向けて経営統合を行います。2015年4月には同社のパッケージ製品を含め、エンベデッド事業以外の事業を当社が引き継ぎ、すでに両社が一体となって、これまで以上の事業拡大を目指しています。,〒140-8526 東京都品川区東品川2-4-11 野村不動産天王洲ビル,1982年7月,代表取締役社長 神森 晶久,"3,489名","3,617百万円","69,129百万円",40.8歳,,http://www.canon-its.co.jp/
